Time Diff, Data, meas
9745,0,CHIP1T
9761,0,REVCNT
9764,0,RPM
9764,0,TPS
9765,109,MAP
9783,0,REVCNT
9786,0,RPM
9786,0,TPS
9787,109,MAP
9808,0,REVCNT
9811,0,RPM
9811,0,TPS
9812,109,MAP
9830,0,REVCNT
9833,0,RPM
9834,0,TPS
9834,109,MAP
9860,494,ACC1X
9863,520,ACC1Y
9864,603,ACC1Z
9864,0,CHIP1T
9880,0,REVCNT
9883,0,RPM
9883,0,TPS
9884,109,MAP
9902,0,REVCNT
9905,0,RPM
9905,0,TPS
9906,109,MAP
9927,0,REVCNT
9930,0,RPM
9931,0,TPS
9931,109,MAP
9950,0,REVCNT
9952,0,RPM
9953,0,TPS
9953,109,MAP
9972,493,ACC1X
9975,521,ACC1Y
9976,604,ACC1Z
9977,0,CHIP1T
9994,0,REVCNT
9997,0,RPM
9997,0,TPS
9998,109,MAP
10015,0,REVCNT
10018,0,RPM
10018,0,TPS
10019,109,MAP
10042,0,REVCNT
10045,0,RPM
10045,0,TPS
10046,109,MAP
10063,0,REVCNT
10071,0,RPM
10071,0,TPS
10072,109,MAP
10091,494,ACC1X
10094,520,ACC1Y
10095,603,ACC1Z
10096,0,CHIP1T
10113,0,REVCNT
10116,0,RPM
10116,0,TPS
10117,109,MAP
10134,0,REVCNT
10137,0,RPM
10138,0,TPS
10138,109,MAP
10161,0,REVCNT
10164,0,RPM
10164,0,TPS
10165,109,MAP
10183,0,REVCNT
10185,0,RPM
10186,0,TPS
10186,109,MAP
10207,494,ACC1X
10210,521,ACC1Y
10210,602,ACC1Z
10211,0,CHIP1T
10227,0,REVCNT
10230,0,RPM
10231,0,TPS
10231,109,MAP
10250,0,REVCNT
10253,0,RPM
10253,0,TPS
10259,109,MAP
10281,0,REVCNT
10285,0,RPM
10286,0,TPS
10286,109,MAP
10304,0,REVCNT
10307,0,RPM
10307,0,TPS
10308,109,MAP
10328,494,ACC1X
10331,520,ACC1Y
10332,603,ACC1Z
10332,0,CHIP1T
10349,0,REVCNT
10351,0,RPM
10352,0,TPS
10352,109,MAP
10371,0,REVCNT
10374,0,RPM
10374,0,TPS
10375,109,MAP
10396,0,REVCNT
10399,0,RPM
10400,0,TPS
10400,109,MAP
10419,0,REVCNT
10422,0,RPM
10422,0,TPS
10423,109,MAP
10442,494,ACC1X
10445,520,ACC1Y
10446,603,ACC1Z
10446,0,CHIP1T
10464,0,REVCNT
10467,0,RPM
10471,0,TPS
10471,109,MAP
10489,0,REVCNT
10492,0,RPM
10492,0,TPS
10493,109,MAP
10515,0,REVCNT
10518,0,RPM
10519,0,TPS
10519,109,MAP
10537,0,REVCNT
10541,0,RPM
10541,0,TPS
10542,109,MAP
10561,494,ACC1X
10564,520,ACC1Y
10565,602,ACC1Z
10565,0,CHIP1T
10582,0,REVCNT
10585,0,RPM
10586,0,TPS
10586,109,MAP
10604,0,REVCNT
10607,0,RPM
10607,0,TPS
10608,109,MAP
10631,0,REVCNT
10634,0,RPM
10635,0,TPS
10635,109,MAP
10653,0,REVCNT
10656,0,RPM
10656,0,TPS
10657,109,MAP
10677,495,ACC1X
10686,520,ACC1Y
10687,603,ACC1Z
10687,0,CHIP1T
10703,0,REVCNT
10706,0,RPM
10707,0,TPS
10707,109,MAP
10725,0,REVCNT
10728,0,RPM
10729,0,TPS
10729,109,MAP
10752,0,REVCNT
10755,0,RPM
10756,0,TPS
10756,109,MAP
10773,0,REVCNT
10776,0,RPM
10777,0,TPS
10777,109,MAP
10798,494,ACC1X
10801,520,ACC1Y
10802,602,ACC1Z
10802,0,CHIP1T
10818,0,REVCNT
10821,0,RPM
10822,0,TPS
10822,109,MAP
10841,7087,INJLOW
10844,0,SPARK1
10844,150,PHASE_LOW
10845,3601,PHASE_HIGH
10866,0,REVCNT
10869,0,RPM
10874,0,TPS
10874,109,MAP
10893,0,REVCNT
10896,0,RPM
10896,0,TPS
10897,109,MAP
10916,494,ACC1X
10919,520,ACC1Y
10920,602,ACC1Z
10920,0,CHIP1T
10937,0,REVCNT
10940,0,RPM
10941,0,TPS
10941,109,MAP
10958,0,REVCNT
10961,0,RPM
10962,0,TPS
10962,109,MAP
10985,0,REVCNT
10988,0,RPM
10989,0,TPS
10989,109,MAP
11008,0,REVCNT
11011,0,RPM
11011,0,TPS
11012,109,MAP
11031,494,ACC1X
11034,520,ACC1Y
11035,603,ACC1Z
11035,0,CHIP1T
11052,0,REVCNT
11055,0,RPM
11056,0,TPS
11056,109,MAP
11080,0,REVCNT
11083,0,RPM
11083,0,TPS
11084,109,MAP
11107,0,REVCNT
11110,0,RPM
11110,0,TPS
11111,109,MAP
11128,0,REVCNT
11131,0,RPM
11132,0,TPS
11132,109,MAP
11153,494,ACC1X
11156,520,ACC1Y
11157,602,ACC1Z
11157,0,CHIP1T
11173,0,REVCNT
11176,0,RPM
11177,0,TPS
11177,109,MAP
11196,0,REVCNT
11199,0,RPM
11199,0,TPS
11200,109,MAP
11222,0,REVCNT
11225,0,RPM
11226,0,TPS
11227,109,MAP
11244,0,REVCNT
11247,0,RPM
11248,0,TPS
11248,109,MAP
11268,495,ACC1X
11271,520,ACC1Y
11272,603,ACC1Z
11276,0,CHIP1T
11292,0,REVCNT
11295,0,RPM
11296,0,TPS
11296,109,MAP
11315,0,REVCNT
11318,0,RPM
11318,0,TPS
11319,109,MAP
11340,0,REVCNT
11343,0,RPM
11344,0,TPS
11344,109,MAP
11363,0,REVCNT
11366,0,RPM
11366,0,TPS
11367,109,MAP
11386,494,ACC1X
11389,520,ACC1Y
11390,603,ACC1Z
11390,0,CHIP1T
11407,0,REVCNT
11410,0,RPM
11411,0,TPS
11411,109,MAP
11429,0,REVCNT
11432,0,RPM
11432,0,TPS
11433,109,MAP
11456,0,REVCNT
11459,0,RPM
11459,0,TPS
11460,109,MAP
11478,0,REVCNT
11481,0,RPM
11487,0,TPS
11488,109,MAP
11507,495,ACC1X
11510,520,ACC1Y
11511,602,ACC1Z
11511,0,CHIP1T
11528,0,REVCNT
11531,0,RPM
11532,0,TPS
11532,109,MAP
11549,0,REVCNT
11552,0,RPM
11553,0,TPS
11553,109,MAP
11576,0,REVCNT
11579,0,RPM
11580,0,TPS
11580,109,MAP
11598,0,REVCNT
11601,0,RPM
11601,0,TPS
11602,109,MAP
11622,495,ACC1X
11625,520,ACC1Y
11626,602,ACC1Z
11626,0,CHIP1T
11660,0,REVCNT
11663,0,RPM
11663,0,TPS
11664,109,MAP
11681,0,REVCNT
11684,0,RPM
11684,0,TPS
11685,109,MAP
11708,0,REVCNT
11715,0,RPM
11715,0,TPS
11716,109,MAP
11734,0,REVCNT
11737,0,RPM
11738,0,TPS
11738,109,MAP
11757,494,ACC1X
11761,520,ACC1Y
11761,603,ACC1Z
11762,0,CHIP1T
11779,0,REVCNT
11782,0,RPM
11782,0,TPS
11783,109,MAP
11800,0,REVCNT
11803,0,RPM
11804,0,TPS
11804,109,MAP
11827,0,REVCNT
11830,0,RPM
11830,0,TPS
11831,109,MAP
11848,0,REVCNT
11851,0,RPM
11852,0,TPS
11852,109,MAP
11873,494,ACC1X
11876,520,ACC1Y
11877,603,ACC1Z
11877,0,CHIP1T
11894,0,REVCNT
11897,0,RPM
11897,0,TPS
11904,109,MAP
11921,0,REVCNT
11924,0,RPM
11925,0,TPS
11925,109,MAP
11948,0,REVCNT
11951,0,RPM
11952,0,TPS
11952,109,MAP
11970,0,REVCNT
11973,0,RPM
11973,0,TPS
11974,109,MAP
11994,495,ACC1X
11997,520,ACC1Y
11998,602,ACC1Z
11998,0,CHIP1T
12014,0,REVCNT
12017,0,RPM
12018,0,TPS
12018,109,MAP
12037,0,REVCNT
12040,0,RPM
12040,0,TPS
12041,109,MAP
12063,0,REVCNT
12066,0,RPM
12066,0,TPS
12067,109,MAP
12085,0,REVCNT
12088,0,RPM
12089,0,TPS
12089,109,MAP
12108,493,ACC1X
12111,520,ACC1Y
12116,602,ACC1Z
12116,0,CHIP1T
12133,0,REVCNT
12136,0,RPM
12137,0,TPS
12137,109,MAP
12155,0,REVCNT
12158,0,RPM
12158,0,TPS
12160,109,MAP
12182,0,REVCNT
12185,0,RPM
